type	file_name	uuid	file_size	md5sum	file_status	file_location	file_format	acl	sample.sample_id	laboratory_procedure.laboratory_procedure_id	file_id	file_description	file_type
file	20_OncotypeDXqRTPCR.txt	ca80e7d8-4003-5c8e-863f-9f1b41296811	319.0	b0cd2d4621340fd811c5057793fc6e02	uploaded	s3://bento-files/PACT1-1K/20_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-16495	BENTO-LAB-001	BENTO-FILE-16495	qRT-PCR output	text
file	40_OncotypeDXqRTPCR.txt	78145601-dc77-5ce3-88ab-e912e8fc27a4	318.0	81c37378b9797ae2c5e979ba0124dfc5	uploaded	s3://bento-files/PACT1-1K/40_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-29828	BENTO-LAB-001	BENTO-FILE-29828	qRT-PCR output	text
file	49_OncotypeDXqRTPCR.txt	b7ee34e2-b2e6-5805-975b-7991e879c5b8	317.0	470a304de126d344682ee14192a3d358	uploaded	s3://bento-files/PACT1-1K/49_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-35932	BENTO-LAB-001	BENTO-FILE-35932	qRT-PCR output	text
file	63_OncotypeDXqRTPCR.txt	c95e733d-1c9c-59e0-8bd8-2400e6b90594	316.0	e7ee6d12665d9c7712eabed4ea6012cc	uploaded	s3://bento-files/PACT1-1K/63_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-42003	BENTO-LAB-001	BENTO-FILE-42003	qRT-PCR output	text
file	84_OncotypeDXqRTPCR.txt	f5b3de19-d7aa-585e-baca-84c4f50a52ca	320.0	9d72a78c181ca11545f846952f31bed7	uploaded	s3://bento-files/PACT1-1K/84_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-67043	BENTO-LAB-001	BENTO-FILE-67043	qRT-PCR output	text
file	91_OncotypeDXqRTPCR.txt	c837c3f4-363e-5447-9929-7d8252fac23e	317.0	b9a6bbc8734f631fc85f153a074bf8cd	uploaded	s3://bento-files/PACT1-1K/91_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-77341	BENTO-LAB-001	BENTO-FILE-77341	qRT-PCR output	text
file	100_OncotypeDXqRTPCR.txt	885d2dc8-ab38-5ab6-8f3f-59ab7bfd7e0b	319.0	c2f611652ede0052f52550a7a94b92c4	uploaded	s3://bento-files/PACT1-1K/100_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-90122	BENTO-LAB-001	BENTO-FILE-90122	qRT-PCR output	text
file	107_OncotypeDXqRTPCR.txt	677016fa-ac2b-5e3a-8697-4ea05440f3d6	320.0	c9a5498f7ca0583f8c471b5c9db990ea	uploaded	s3://bento-files/PACT1-1K/107_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-99932	BENTO-LAB-001	BENTO-FILE-99932	qRT-PCR output	text
file	122_OncotypeDXqRTPCR.txt	4f2048fd-dfd2-5406-84c8-ae327c38359d	318.0	5545a90874d8b149e80b2ec605e31cfc	uploaded	s3://bento-files/PACT1-1K/122_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-117224	BENTO-LAB-001	BENTO-FILE-117224	qRT-PCR output	text
file	131_OncotypeDXqRTPCR.txt	fdc57d5e-1cf4-5d0f-8eee-d348bcbddfb4	318.0	b3d4fb583cca81abf017711f2c7e0708	uploaded	s3://bento-files/PACT1-1K/131_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-129972	BENTO-LAB-001	BENTO-FILE-129972	qRT-PCR output	text
file	135_OncotypeDXqRTPCR.txt	91cc4845-b9cf-56d0-92b4-a20ca5b7bd74	317.0	919d8a9fa0248ba54ba41bc66c6b9647	uploaded	s3://bento-files/PACT1-1K/135_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-132078	BENTO-LAB-001	BENTO-FILE-132078	qRT-PCR output	text
file	142_OncotypeDXqRTPCR.txt	dd337a81-a27f-53dc-8a17-29bc8593d000	318.0	b33a055b4a72070ecfd4cc64ffbb0584	uploaded	s3://bento-files/PACT1-1K/142_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-138760	BENTO-LAB-001	BENTO-FILE-138760	qRT-PCR output	text
file	146_OncotypeDXqRTPCR.txt	24a2f855-d33b-5c26-91ee-ab163e5be8ca	318.0	c8dd2777d1bea13cd2b4d53ca3320251	uploaded	s3://bento-files/PACT1-1K/146_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-143135	BENTO-LAB-001	BENTO-FILE-143135	qRT-PCR output	text
file	164_OncotypeDXqRTPCR.txt	29897ba2-c0ac-5d9b-95cb-04457dfce278	319.0	c9a4a64c7382ccfe43a9dcdcfb23a905	uploaded	s3://bento-files/PACT1-1K/164_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-161513	BENTO-LAB-001	BENTO-FILE-161513	qRT-PCR output	text
file	183_OncotypeDXqRTPCR.txt	416efb55-9676-578a-b987-e4718ae0088f	319.0	1fc0e3c143b95b80704c20e2c95a1fcb	uploaded	s3://bento-files/PACT1-1K/183_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-181328	BENTO-LAB-001	BENTO-FILE-181328	qRT-PCR output	text
file	196_OncotypeDXqRTPCR.txt	95b9483c-2c1d-584c-8a40-f886756fd9f8	319.0	4057889a3976b2dad9eaa748db0a1c6d	uploaded	s3://bento-files/PACT1-1K/196_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-196229	BENTO-LAB-001	BENTO-FILE-196229	qRT-PCR output	text
file	200_OncotypeDXqRTPCR.txt	41a6594c-4372-55c1-9832-c8053948df61	317.0	ea63ffdd99e74fb96cc5089f66d760ee	uploaded	s3://bento-files/PACT1-1K/200_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-200434	BENTO-LAB-001	BENTO-FILE-200434	qRT-PCR output	text
file	212_OncotypeDXqRTPCR.txt	39568156-6c29-55ae-b6e7-a803b484dd3f	318.0	f1a838d0a1866cbadf757b6c70b49aca	uploaded	s3://bento-files/PACT1-1K/212_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-209245	BENTO-LAB-001	BENTO-FILE-209245	qRT-PCR output	text
file	220_OncotypeDXqRTPCR.txt	c0debdf3-6f79-5122-8b41-15c238d63b83	317.0	9ed1f086c0b58bf1ea8f4ff859726283	uploaded	s3://bento-files/PACT1-1K/220_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-217910	BENTO-LAB-001	BENTO-FILE-217910	qRT-PCR output	text
file	225_OncotypeDXqRTPCR.txt	9c7cb73d-b807-5d13-b5f2-951cba485900	318.0	446f87b8557e78cb58a4ca77b1cb12dc	uploaded	s3://bento-files/PACT1-1K/225_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-222647	BENTO-LAB-001	BENTO-FILE-222647	qRT-PCR output	text
file	234_OncotypeDXqRTPCR.txt	2e06c386-67da-58df-a156-b84766278b2c	318.0	b0e674bcf6ba75d7f9126f4319a8ccfc	uploaded	s3://bento-files/PACT1-1K/234_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-231525	BENTO-LAB-001	BENTO-FILE-231525	qRT-PCR output	text
file	247_OncotypeDXqRTPCR.txt	f7b7f89e-1a0d-5bcb-9b29-790b77c2173b	318.0	791a947245c1e229b35bd4005efd400f	uploaded	s3://bento-files/PACT1-1K/247_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-244208	BENTO-LAB-001	BENTO-FILE-244208	qRT-PCR output	text
file	254_OncotypeDXqRTPCR.txt	1db3e111-fa2d-5f0e-809f-070289bad967	317.0	b4aa24ee293a415fecb0848c661b491f	uploaded	s3://bento-files/PACT1-1K/254_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-252336	BENTO-LAB-001	BENTO-FILE-252336	qRT-PCR output	text
file	258_OncotypeDXqRTPCR.txt	b6533f4c-7b23-5fd8-a226-86e85378e5f1	318.0	cd08ff372ec5579698d479025a76e8b5	uploaded	s3://bento-files/PACT1-1K/258_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-257807	BENTO-LAB-001	BENTO-FILE-257807	qRT-PCR output	text
file	262_OncotypeDXqRTPCR.txt	95e21b5f-02c0-587d-825f-9152b6b86a44	317.0	aa6ce7470f7ba046bb3d9e70e67668ca	uploaded	s3://bento-files/PACT1-1K/262_OncotypeDXqRTPCR.txt	txt	['Open']	BENTO-BIOS-262293	BENTO-LAB-001	BENTO-FILE-262293	qRT-PCR output	text
